课程名                关键词             分类              描述    
Python算法实践  算法	计算机               	本课程是一门算法入门课程，也是一门程序设计语言入门课程。 让计算机辅助我们工作，需要我们有较强的算法和程序设计能力。而算法和程序设计的学习无法一蹴而就，是一个长期而艰苦的工作。 本课程是零基础的基础性学习，为将来的进一步学习奠定坚实的基础。

信息与计算思维导论  系统设计      计算机              	 计算思维是运用计算机科学的基础概念进行问题求解、系统设计，以及人类行为理解的涵盖计算机科学之广度的一系列思维活动。计算思维已成为各专业学生都应掌握的思维方式，是各学科学生创新的源泉。本课程属于通识课，介绍计算机的算法基础、Python 编程、社会计算、区块链、大数据和人工智能等内容。

Java语言程序设计    编程              计算机           	   Java是目前世界上最流行的计算机编程语言，Java内容繁多，因此一些Java课程无暇顾及程序基本设计思想，而是要求学习者具备编程经验，特别是大多将C语言作为学习本课程的先修课程。我们没有这个约束，一切从零开始学习程序设计。没有程序设计经验？或者只具备简单的程序设计能力？这门课程都适合你。


沟通心理学            沟通	心理学             	   视角独特的“主持型”心理课，正能量的“烧脑”之旅。言语犀利，案例丰富，思维训练，实用性强，主讲人裴秋宇老师凝聚19年心理医生“心战”经历、15年世界五百强员工心理内训精华，获得2016最受欢迎慕课top1、2017十大最受欢迎国家精品在线课程。

人格心理学	人格	心理学	 	人心不同，各如其面。每个人都有自己的人格，但每个人未必都了解自己的人格。你的人格有哪些成分，它们是如何发展变化的，有哪些因素在影响它们，我们如何改变自己的人格？换言之，在纷繁复杂的人格现象当中，究竟隐藏着哪些心理规律？对于这些问题的答案，《人格心理学》课程将带你一一揭晓。

音乐心理学	音乐	心理学		音乐是人类社会特有的，它与人类心理存在密切的关系。比如，远处飘来的一段旋律可能令你心旷神怡，也可能让你潸然泪下……音乐以其特殊的方式影响着人类的心理变化，也影响着人类的行为。本课程将从心理的视角探索人们如何感知音乐，揭开音乐影响人类发展的面纱，了解音乐在现代社会中的作用。

社会心理学	社会情境	心理学		一个人究竟会特立独行还是随波逐流？小别胜新婚，还是离久情疏远？欲速则不达，还是迟疑失先机？长期太忙太穷真的会变傻吗？为什么节食减肥的人往往在身心疲惫时无法抵御美食的诱惑？为什么围观的人越多，帮助行为越少，这是道德的滑坡吗？以上这些问题，社会心理学会从社会情境的视角给你更好的答案。

大学生心理健康教育	心理健康	心理学		既古老又年轻的科学！既是理论也是应用的学科！它就是有趣又神秘的心理学。《大学生心理健康教育》课程将带你掀开一角的神秘面纱，通过课程学习，增强大学生解决心理问题的能力，提高大学生的心理素质，促进大学生身心健康发展。

世界文化史  	文化背景	历史		《世界文化史》讲述主要民族和地区的文化及文明的演化轨迹。我们目标是使学生系统了解其中的线索及历程，理解历史发生之本因和规律，鉴别文化现象及历史事件，重新思考中外文化所谓“优”与“劣”，学会分析不同民族的文化或者某一文化内容为何在特定历史环境或时期内产生决定性影响。

中国古代史通论 	中国古史 	历史		《中国古代史通论》是历史学门类各专业本科高年级和研究生的选修课，是中国古代史的一门提高课，是在中国通史基础上着重向选修同学讲授古代各断代的特点和历史地位以及有关中国古代历史的一些通贯性的问题和理论问题，其目的是加强学生对中国古代历史的整体性认识。

欧洲一体化 	欧洲	历史		本课程主要探讨欧洲一体化的历史渊源、战后初期欧洲联合的思潮和运动、欧洲一体化的发展历程、欧洲共同体的扩大、欧洲政治经济联盟的进展、欧洲统一大市场的建立、欧盟的决策机制、欧盟的共同农业政策与食品安全等问题，使学生全面而系统地掌握欧洲一体化的历史与发展趋势。

科技与考古	考古	历史		基于考古研究、文物与文化遗产保护和文物鉴定三大任务，自然科学在文物考古领域发挥着越来越重要的作用。本课程通过教师讲授、观看录像与讨论等形式，深入浅出地介绍现代科技方法在文物研究、保护和鉴别中的原理与应用。通过科技手段再现古代文明的高超技艺，丰富考古学研究方法，叙述文物的前世今生。

中外文化交流史	交流	历史		本着知识学习与人文修养、创新精神、实践能力相结合的原则，希望学生通过学习本课程，了解和掌握中外文化交流的历史事实，能够在世界历史的大视野下，以跨文化的眼光，加深认识中国历史文化的世界性地位和民族性特色，从而增强对祖国文化的热爱之情和对中国文化走向未来、走向世界的坚定信念。


